40, 160, class 1, 0.0503, 0.9884, 0.9042
40, 160, class 2, 0.0496, 0.9862, 0.9117
40, 160, class 3, 0.0577, 0.9872, 0.9224
40, 160, class 4, 0.0643, 0.9699, 0.9030
40, 160, class 5, 0.0864, 0.9772, 0.9071
40, 180, class 1, 0.0467, 0.9858, 0.9108
40, 180, class 2, 0.0546, 0.9837, 0.8210
40, 180, class 3, 0.0753, 0.9813, 0.8850
40, 180, class 4, 0.0533, 0.9845, 0.9812
40, 180, class 5, 0.0647, 0.9795, 0.9277
40, 200, class 1, 0.0523, 0.9868, 0.8947
40, 200, class 2, 0.0531, 0.9871, 0.8579
40, 200, class 3, 0.0550, 0.9823, 0.9432
40, 200, class 4, 0.0648, 0.9862, 0.9091
40, 200, class 5, 0.0685, 0.9818, 0.9284
50, 100, class 2, 0.0471, 0.9862, 0.6662
50, 100, class 3, 0.0517, 0.9862, 0.9587
50, 100, class 4, 0.0376, 0.9898, 0.9614
50, 100, class 5, 0.0691, 0.9863, 0.8164
50, 120, class 1, 0.0390, 0.9904, 0.9482
50, 120, class 2, 0.0617, 0.9856, 0.9026
50, 120, class 3, 0.0551, 0.9856, 0.9389
50, 120, class 4, 0.0620, 0.9851, 0.9316
50, 120, class 5, 0.0687, 0.9705, 0.9074
50, 140, class 1, 0.0501, 0.9859, 0.9320
50, 140, class 2, 0.0473, 0.9858, 0.9375
50, 140, class 3, 0.0555, 0.9860, 0.9278
50, 140, class 4, 0.0651, 0.9811, 0.9379
50, 140, class 5, 0.0574, 0.9877, 0.8804
50, 160, class 1, 0.0362, 0.9878, 0.9274
50, 160, class 2, 0.0517, 0.9874, 0.8927
50, 160, class 4, 0.0629, 0.9813, 0.8941
50, 160, class 5, 0.0691, 0.9793, 0.8962
50, 180, class 2, 0.0471, 0.9878, 0.9268
50, 180, class 3, 0.0808, 0.9776, 0.8937
50, 180, class 4, 0.0724, 0.9810, 0.9007
50, 180, class 5, 0.0722, 0.9810, 0.9577
50, 200, class 1, 0.0474, 0.9846, 0.9098
50, 200, class 2, 0.0503, 0.9869, 0.9477
50, 200, class 3, 0.0812, 0.9787, 0.8730
50, 200, class 4, 0.0803, 0.9809, 0.8997
50, 200, class 5, 0.0793, 0.9817, 0.9076
